State,Year,Medicaid_Spending,Median_Income
Mississippi,2042,13083.029330889112,66487.34188817581
Mississippi,2043,13229.842346471094,67461.7873510539
Mississippi,2044,13376.655362053134,68436.232813932
Mississippi,2045,13523.468377635174,69410.6782768101
Mississippi,2046,13670.281393217214,70385.12373968819
Mississippi,2047,13817.094408799254,71359.56920256629
Mississippi,2048,13963.907424381294,72334.01466544438
Mississippi,2049,14110.720439963334,73308.46012832248
Mississippi,2050,14257.533455545374,74282.90559120057
Missouri,2021,21396.317555313697,64778.7359448676
Missouri,2022,21942.704026115127,66519.0179542983
Missouri,2023,22489.09049691679,68259.29996372852
Missouri,2024,23035.476967718452,69999.58197315922
Missouri,2025,23581.863438520115,71739.86398258992
Missouri,2026,24128.249909321545,73480.14599202015
Missouri,2027,24674.636380123207,75220.42800145084
Missouri,2028,25221.02285092487,76960.71001088154
Missouri,2029,25767.4093217263,78700.99202031177
Missouri,2030,26313.795792527962,80441.27402974246
Missouri,2031,26860.182263329625,82181.55603917316
Missouri,2032,27406.568734131288,83921.83804860339
Missouri,2033,27952.955204932718,85662.12005803408
Missouri,2034,28499.34167573438,87402.40206746478
Missouri,2035,29045.728146536043,89142.684076895
Missouri,2036,29592.114617337473,90882.9660863257
Missouri,2037,30138.501088139135,92623.2480957564
Missouri,2038,30684.887558940798,94363.53010518663
Missouri,2039,31231.27402974246,96103.81211461732
Missouri,2040,31777.66050054389,97844.09412404802
Missouri,2041,32324.046971345553,99584.37613347825
Missouri,2042,32870.433442147216,101324.65814290894
Missouri,2043,33416.819912948646,103064.94015233964
Missouri,2044,33963.20638375031,104805.22216176987
Missouri,2045,34509.59285455197,106545.50417120056
Missouri,2046,35055.97932535363,108285.78618063126
Missouri,2047,35602.36579615506,110026.06819006149
Missouri,2048,36148.752266956726,111766.35019949218
Missouri,2049,36695.13873775839,113506.63220892288
Missouri,2050,37241.52520855982,115246.91421835311
Montana,2021,4337.351970668999,64580.54995417036
Montana,2022,4621.847846012795,66842.88725939486
Montana,2023,4906.343721356476,69105.22456461936
Montana,2024,5190.8395967002725,71367.56186984386
Montana,2025,5475.335472043953,73629.89917506836
Montana,2026,5759.831347387633,75892.23648029286
Montana,2027,6044.32722273143,78154.5737855183
Montana,2028,6328.8230980751105,80416.9110907428
Montana,2029,6613.318973418791,82679.2483959673
Montana,2030,6897.814848762588,84941.5857011918
Montana,2031,7182.310724106268,87203.9230064163
Montana,2032,7466.806599449948,89466.2603116408
Montana,2033,7751.302474793745,91728.5976168653
Montana,2034,8035.798350137426,93990.9349220898
Montana,2035,8320.294225481106,96253.2722273143
Montana,2036,8604.790100824903,98515.6095325388
Montana,2037,8889.285976168583,100777.9468377633
Montana,2038,9173.781851512264,103040.2841429878
Montana,2039,9458.27772685606,105302.6214482123
Montana,2040,9742.77360219974,107564.9587534368
Montana,2041,10027.269477543538,109827.29605866224
Montana,2042,10311.765352887218,112089.63336388674
Montana,2043,10596.261228230898,114351.97066911124
Montana,2044,10880.757103574695,116614.30797433574
Montana,2045,11165.252978918375,118876.64527956024
Montana,2046,11449.748854262056,121138.98258478474
Montana,2047,11734.244729605853,123401.31989000924
Montana,2048,12018.740604949533,125663.65719523374
